Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
30	0	-15806.38	-15818.8	12.42491	0.138337	0.105499	0.0995993	0.116176	0.126065	0.077039	0.142933	0.0655938	0.111314	0.170538	0.0761965	0.0854447	0.0996539	0.0868157	0.114087	0.124268	0.122312	0.117536	0.11698	0.0667115	0.0984901	0.0858983	0.158134	0.0431488	0.0169801	0.0212501	0.028258	0.0297635	0.0103399	0.0477469	0.029187	0.0423579	0.0174122	0.0961051	0.0618385	0.0398162	0.0259508	0.0598397	0.0167224	0.0469535	0.0174173	0.0543983	0.0353102	3.246417
31	1	-15801.62	-15814.42	12.79793	0.128564	0.0906219	0.11127	0.088913	0.120198	0.075549	0.112983	0.0603879	0.107166	0.159288	0.0917177	0.0978375	0.0872148	0.085584	0.104714	0.137426	0.118543	0.113346	0.1215	0.0790607	0.086896	0.0777695	0.181364	0.0143223	0.0315064	0.0344391	0.0199477	0.0573204	0.0371242	0.0480249	0.0334457	0.0329754	0.0601191	0.0399354	0.0268032	0.0248073	0.100983	0.0438497	0.0230241	0.0176821	0.0414143	0.0336821	0.0497964	3.209115
32	0	-15814.67	-15827.43	12.76243	0.132647	0.109035	0.102009	0.0921356	0.118129	0.0891431	0.123978	0.0803144	0.111057	0.136802	0.0869017	0.0632005	0.0856172	0.0966218	0.0915635	0.10326	0.147585	0.103622	0.11698	0.0854965	0.0685856	0.101013	0.143775	0.0308596	0.0247862	0.0379426	0.0358618	0.0323487	0.0130329	0.0669781	0.0163221	0.0586013	0.0195386	0.0867059	0.050796	0.0406416	0.0219183	0.0432037	0.0424467	0.0408546	0.0392024	0.0595959	0.0615565	3.212665
33	1	-15801.78	-15814.34	12.56637	0.139703	0.074701	0.0891228	0.0909654	0.123727	0.0724324	0.10718	0.0901255	0.0903104	0.195641	0.0812915	0.0978375	0.10038	0.0875036	0.114502	0.112761	0.141958	0.12315	0.135268	0.0708909	0.0909319	0.0871161	0.188355	0.0211825	0.0305497	0.0315418	0.022333	0.0511614	0.0296966	0.0351256	0.0319491	0.0305728	0.0474061	0.0319862	0.0257176	0.0343072	0.0994111	0.0281038	0.0246821	0.0188789	0.0556638	0.0351472	0.0410003	3.232271
34	0	-15809.6	-15821.87	12.27063	0.151126	0.109035	0.119645	0.0916895	0.119533	0.0825143	0.135065	0.0669754	0.0920106	0.15194	0.0973902	0.086569	0.118621	0.0788771	0.116645	0.11503	0.150689	0.103998	0.11186	0.0884714	0.0879997	0.0776157	0.162311	0.0491532	0.0377862	0.0192983	0.0367034	0.0309873	0.0115505	0.0492074	0.0275488	0.034603	0.0155949	0.0927567	0.0463993	0.027094	0.0234071	0.0572957	0.0236472	0.0331341	0.029179	0.0665054	0.0343831	3.261845
35	1	-15801.64	-15814.68	13.03215	0.115972	0.0937943	0.0891228	0.0909654	0.115241	0.0841843	0.135086	0.0864045	0.100314	0.142316	0.0940275	0.0739038	0.091365	0.0869057	0.114502	0.144413	0.138438	0.108436	0.128274	0.0755322	0.107543	0.094454	0.186702	0.0305645	0.0300155	0.0351837	0.0406087	0.0518986	0.0260456	0.0294215	0.0253605	0.0276321	0.0509786	0.0335141	0.0233948	0.0279756	0.0804307	0.0323722	0.0196043	0.00806027	0.0444321	0.0276982	0.0426053	3.185693
36	0	-15801.71	-15814.25	12.5352	0.13548	0.0871872	0.105017	0.0836107	0.107349	0.0768549	0.108175	0.0789657	0.110119	0.180079	0.0711477	0.108849	0.0925958	0.111233	0.119054	0.10873	0.130027	0.122908	0.127672	0.0930975	0.0993305	0.0849154	0.153849	0.0371122	0.0237374	0.0336489	0.0295716	0.0254716	0.0156411	0.0729117	0.0343093	0.0376678	0.0232958	0.0961445	0.0552329	0.0311275	0.0226973	0.0424438	0.0259513	0.0392735	0.0197128	0.04235	0.0308386	3.235388
37	1	-15804.05	-15815.87	11.8135	0.128337	0.107413	0.0959078	0.111456	0.128721	0.0827326	0.117479	0.0788558	0.0890918	0.18153	0.0740287	0.095138	0.101107	0.109662	0.105531	0.129648	0.139449	0.103089	0.1316	0.0755322	0.0758633	0.0940115	0.165143	0.017714	0.0270355	0.0427693	0.0288353	0.0618625	0.0306848	0.0376589	0.0122676	0.0391618	0.0453576	0.0250298	0.0360579	0.0442697	0.103435	0.0462665	0.0212786	0.0172629	0.0574292	0.0455806	0.0462748	3.307558
38	0	-15806.3	-15818.71	12.40861	0.124926	0.104306	0.105017	0.0860556	0.121684	0.0837805	0.13248	0.0751907	0.0899468	0.156931	0.0741012	0.0874115	0.0925958	0.0866149	0.12556	0.127115	0.117688	0.127668	0.122573	0.0967382	0.0993305	0.0834743	0.185688	0.0360414	0.0387988	0.0327266	0.0398731	0.0361892	0.00766444	0.0455415	0.0273924	0.0314889	0.0270902	0.0822372	0.0518287	0.0367634	0.0177161	0.0498604	0.0320871	0.0377286	0.0326503	0.0491097	0.0283821	3.248047
39	1	-15804.8	-15817.51	12.71479	0.128337	0.0984768	0.106049	0.0880419	0.0964747	0.0879962	0.135148	0.0788569	0.091204	0.17874	0.0809706	0.0849958	0.0828307	0.105657	0.101065	0.133383	0.108994	0.11426	0.121688	0.0962818	0.0780035	0.0822348	0.155055	0.0284326	0.0318033	0.0481598	0.0291233	0.0500626	0.0377056	0.051287	0.0371126	0.0281914	0.0611116	0.0354303	0.0225936	0.0302185	0.0805179	0.0306667	0.0175699	0.0173361	0.0456159	0.0401339	0.0596141	3.217429
