Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
300	-15809.17	-15822.13	12.95274	0.120072	0.0899646	0.0995018	0.0838818	0.111038	0.095176	0.121842	0.0967182	0.0701602	0.169894	0.0825654	0.0800812	0.0946999	0.0979177	0.108542	0.149908	0.13296	0.123513	0.1273	0.058951	0.0925696	0.086708	0.163663	0.0239717	0.0450181	0.0435196	0.0240037	0.060482	0.0189446	0.0328587	0.0208776	0.0226986	0.0384253	0.0342113	0.0301258	0.0294403	0.0975424	0.049909	0.00646072	0.0147522	0.0629906	0.0459408	0.033833	3.193634
310	-15801.01	-15813.85	12.84126	0.120889	0.110219	0.0918713	0.0895847	0.104868	0.0908815	0.127083	0.0825799	0.0987739	0.170934	0.0707227	0.0895663	0.11526	0.0979177	0.107789	0.135627	0.112657	0.112505	0.118103	0.078786	0.0898502	0.0840442	0.154756	0.0277849	0.0354578	0.0478337	0.0467658	0.0643808	0.0320399	0.034519	0.0265367	0.0235482	0.0384253	0.0181734	0.0359411	0.0244526	0.0822387	0.0412134	0.0115425	0.0190454	0.0487078	0.0293477	0.061559	3.204782
320	-15806.25	-15818.84	12.58396	0.121837	0.0961591	0.11985	0.0947905	0.10683	0.0829707	0.127083	0.0772697	0.102458	0.16383	0.0849634	0.0879049	0.0927771	0.078122	0.105747	0.105873	0.117914	0.115336	0.113158	0.068371	0.0822825	0.0974192	0.179124	0.0223906	0.0255248	0.0596418	0.0362051	0.0523392	0.039114	0.0436175	0.0214936	0.0338115	0.0630567	0.0318991	0.0231985	0.0358434	0.0736823	0.0558486	0.019215	0.0307798	0.0571609	0.0475856	0.0360338	3.230512
330	-15810.44	-15823.39	12.95673	0.13021	0.0961591	0.113457	0.117262	0.111674	0.0878756	0.127083	0.0822003	0.0956812	0.166419	0.0757463	0.0844773	0.094934	0.11688	0.100078	0.124529	0.121548	0.115336	0.121153	0.0765229	0.0710555	0.0688437	0.161447	0.00688515	0.0288205	0.0411983	0.0220764	0.0548262	0.0337745	0.036788	0.0163452	0.0170134	0.054925	0.0320995	0.0359154	0.0386492	0.105114	0.0375312	0.0313884	0.0157825	0.0298429	0.0438423	0.0498443	3.193235
340	-15801	-15814.4	13.40337	0.135671	0.0735014	0.0993226	0.0845766	0.0985872	0.0842384	0.125141	0.0785494	0.077703	0.174066	0.0719787	0.0742479	0.102792	0.0866369	0.100078	0.126984	0.119452	0.106913	0.134115	0.0709056	0.0973135	0.0835375	0.18971	0.0278785	0.029358	0.0324779	0.0305759	0.0517308	0.0219606	0.0258914	0.0316792	0.0313098	0.0530793	0.0395415	0.0228105	0.0421398	0.0764855	0.05226	0.0149648	0.0174858	0.0467446	0.0448528	0.0593226	3.148571
350	-15804.51	-15816.73	12.2238	0.127496	0.0773579	0.105147	0.0977525	0.105053	0.0900769	0.139424	0.0785494	0.103302	0.145935	0.0894863	0.0861349	0.102792	0.105709	0.105674	0.123602	0.142348	0.107451	0.144194	0.0903748	0.079698	0.0968169	0.181435	0.0405581	0.0179487	0.0416372	0.0249311	0.0396482	0.0500866	0.0360819	0.0305751	0.0240686	0.0432715	0.0263669	0.0381708	0.0321197	0.0901123	0.0427341	0.0210561	0.0174997	0.0544284	0.045212	0.0242118	3.266528
360	-15801.98	-15814.29	12.30941	0.127496	0.0989264	0.106469	0.0926474	0.1044	0.0955789	0.138504	0.0866109	0.0937291	0.175031	0.0855752	0.0563535	0.112139	0.108012	0.097948	0.13351	0.12485	0.141519	0.120328	0.0825941	0.0852673	0.0862272	0.176636	0.0192754	0.0459932	0.0344252	0.0275184	0.0489791	0.0439353	0.0275318	0.0235432	0.0285219	0.0524086	0.0232914	0.0248028	0.0378709	0.0869207	0.0461861	0.0189713	0.014946	0.0512125	0.0373692	0.0339125	3.257967
370	-15807.05	-15820.08	13.02496	0.144675	0.105632	0.0869195	0.080841	0.12356	0.0874053	0.109378	0.0921646	0.0929804	0.169238	0.0676264	0.0650343	0.0967033	0.0781225	0.109848	0.139997	0.149051	0.108921	0.144745	0.0795788	0.0944257	0.0840727	0.162094	0.0183808	0.0316534	0.0390002	0.025062	0.0400554	0.0500881	0.0510785	0.0298702	0.0244218	0.0495692	0.0323562	0.0176553	0.0367733	0.0861495	0.0343267	0.0223851	0.00675669	0.0432207	0.0370796	0.037516	3.186412
380	-15811.22	-15824.4	13.17989	0.128299	0.0867556	0.10865	0.0862483	0.101955	0.0650292	0.116091	0.0695678	0.090534	0.177608	0.0823534	0.0830465	0.113834	0.0882606	0.118048	0.114181	0.11538	0.110182	0.144745	0.0578475	0.0854813	0.0822167	0.182586	0.0191657	0.0258021	0.0190955	0.0306105	0.0495036	0.0550125	0.0316104	0.0296128	0.0380264	0.0745587	0.0340682	0.0301434	0.0361191	0.085143	0.0390225	0.0338238	0.00842337	0.0378827	0.0574602	0.0269334	3.170919
390	-15801.92	-15814.45	12.52197	0.128299	0.0867556	0.105394	0.113718	0.110787	0.0798092	0.115309	0.0856451	0.0948084	0.191262	0.0711265	0.0845108	0.0822289	0.0945574	0.106799	0.133958	0.114643	0.109288	0.115604	0.0804728	0.0941665	0.0872881	0.187763	0.0291279	0.0226652	0.0522869	0.0309357	0.055836	0.0578579	0.0481889	0.0237991	0.0341909	0.0457885	0.0286013	0.0205666	0.0337036	0.092538	0.0467068	0.0325124	0.0079638	0.0399005	0.0338053	0.025544	3.236711
