Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
209	1	-625.8393	-622.5374	-3.301904	405238.1	15.48641	0.998004	0.999489	1.00051	1.002	3.568556
210	0	-622.7645	-614.6939	-8.070602	402297.2	11.8084	0.997997	0.999487	1.00051	1.002	3.975109
211	1	-639.081	-637.3973	-1.683677	133306.1	12.02195	0.996521	0.999109	1.00089	1.00348	3.445707
212	0	-629.6359	-624.8123	-4.823624	906450	11.69846	0.998665	0.999659	1.00034	1.00134	3.696011
213	1	-626.8983	-624.4712	-2.427078	847922.1	15.1845	0.99862	0.999647	1.00035	1.00138	3.519747
214	0	-636.6467	-625.0073	-11.63946	833464.3	10.73401	0.998608	0.999644	1.00036	1.00139	4.272246
215	1	-617.7229	-622.8688	5.145895	870126.3	19.2487	0.998638	0.999652	1.00035	1.00136	2.969311
216	0	-642.4975	-622.4446	-20.05289	153225.5	11.81271	0.996755	0.999169	1.00083	1.00325	4.989517
217	1	-614.4494	-621.3531	6.903695	815729.9	16.50317	0.998593	0.99964	1.00036	1.00141	2.914485
218	0	-635.3541	-622.7063	-12.64781	323346.3	11.55645	0.997766	0.999428	1.00057	1.00224	4.367028
219	1	-631.9337	-632.1961	0.2624477	928485.5	14.7042	0.998681	0.999663	1.00034	1.00132	3.34686
220	0	-629.7368	-619.2073	-10.52943	720792.6	12.60319	0.998503	0.999617	1.00038	1.0015	4.170502
221	1	-634.1754	-630.514	-3.661366	907244.9	17.66136	0.998666	0.999659	1.00034	1.00133	3.504307
222	0	-633.1145	-626.1408	-6.973716	278106.7	11.04538	0.997591	0.999383	1.00061	1.00241	3.855789
223	1	-635.5505	-624.4587	-11.09172	612969.7	12.47162	0.998377	0.999585	1.00041	1.00162	4.218781
224	0	-644.3159	-631.617	-12.6989	115334.5	11.20451	0.99626	0.999042	1.00095	1.00375	4.374267
225	1	-635.0399	-626.112	-8.927965	296580	19.61924	0.997667	0.999403	1.0006	1.00234	3.676369
226	0	-636.4401	-625.3388	-11.10129	818139.9	12.03481	0.998595	0.999641	1.00036	1.00141	4.228873
227	1	-626.5616	-623.7347	-2.826911	385749.6	17.58522	0.997954	0.999477	1.00052	1.00205	3.460363
228	0	-624.7055	-620.2761	-4.429378	79164.49	13.43145	0.995486	0.998842	1.00115	1.00452	3.688509
229	1	-639.8656	-627.4974	-12.36825	590205.6	10.25538	0.998346	0.999577	1.00042	1.00166	4.325192
230	0	-634.9505	-626.6141	-8.336401	523675.6	10.57885	0.998244	0.999551	1.00045	1.00176	3.955412
231	1	-638.3743	-630.4163	-7.95795	674006	13.49332	0.998452	0.999604	1.0004	1.00155	3.949555
232	0	-638.05	-624.7611	-13.28892	780985.4	9.2907	0.998562	0.999632	1.00037	1.00144	4.351866
233	1	-628.0645	-623.336	-4.728494	732506.7	13.67991	0.998515	0.99962	1.00038	1.00149	3.708083
234	0	-640.72	-623.1178	-17.60219	292757.1	10.91924	0.997652	0.999399	1.0006	1.00235	4.822366
235	1	-654.8174	-639.7529	-15.06445	12714.74	8.191371	0.98875	0.997098	1.00286	1.0113	4.395444
236	0	-633.4097	-621.6466	-11.7631	678994.5	10.26423	0.998458	0.999606	1.00039	1.00154	4.266619
237	1	-654.3203	-643.5082	-10.81206	867350.9	10.78828	0.998635	0.999651	1.00035	1.00137	4.196894
238	0	-627.3473	-619.7053	-7.642026	650869.8	12.91627	0.998425	0.999597	1.0004	1.00158	3.937904
239	1	-630.9937	-625.119	-5.874709	615661.6	13.18693	0.99838	0.999586	1.00041	1.00162	3.799159
240	0	-632.2883	-627.4724	-4.815922	418629	12.72189	0.998036	0.999498	1.0005	1.00197	3.718195
